Metric,Score
BLEU,0.029053538908451013
ROUGE1,0.26950988247072744
ROUGE2,0.35598343855179219
ROUGEL,0.1508958114282341
METEOR,0.17997261446320076
BERTScore_F1,0.8356375479966067
